nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
      4055, 3.138256646E-02,-9.667652397E-02, 1.612428905E-03, 4.731829452E-04
      4056, 2.524740900E-02,-9.845440256E-02, 1.869092859E-03, 4.270128819E-04
      4057, 1.902657889E-02,-9.984060774E-02, 2.137922929E-03, 3.529639194E-04
      4058, 1.273842561E-02,-1.008370608E-01, 2.419998982E-03, 2.488638713E-04
      4059, 6.385030550E-03,-1.014404817E-01, 2.712750144E-03, 1.113456310E-04
      4060, 6.440992146E-03, 1.031123974E-01, 1.195146777E-02,-4.599566754E-04
      4061, 1.290042441E-02, 1.025119173E-01, 1.100826762E-02,-1.081624724E-03
      4062, 1.929289605E-02, 1.015009397E-01, 9.973195272E-03,-1.580000565E-03
      4063, 2.561781664E-02, 1.000974462E-01, 8.918275279E-03,-1.957078470E-03
      4064, 3.185620115E-02, 9.829559738E-02, 7.845327786E-03,-2.211570333E-03
      4065, 3.797222861E-02, 9.609666722E-02, 6.766886026E-03,-2.341975966E-03
      4066, 4.392598042E-02, 9.352323687E-02, 5.728691582E-03,-2.359874925E-03
      4067, 4.971112712E-02, 9.057706764E-02, 4.745286428E-03,-2.279643433E-03
      4068, 5.528728183E-02, 8.728972978E-02, 3.851423820E-03,-2.123606181E-03
      4069, 6.067850338E-02, 8.364573354E-02, 3.047593268E-03,-1.904243385E-03
      4070, 6.582712255E-02, 7.965003251E-02, 2.321885939E-03,-1.626183216E-03
      4071, 7.069259306E-02, 7.536213794E-02, 1.702349746E-03,-1.318638333E-03
      4072, 7.530085121E-02, 7.076560059E-02, 1.182760884E-03,-9.950583374E-04
      4073, 7.960061363E-02, 6.588284721E-02, 7.545829398E-04,-6.662660138E-04
      4074, 8.357974400E-02, 6.076053657E-02, 4.209545563E-04,-3.520096554E-04
      4075, 8.724677922E-02, 5.537222449E-02, 1.686753009E-04,-5.841590233E-05
      4076, 9.054576272E-02, 4.977294237E-02,-1.038598017E-05, 2.012848727E-04
      4077, 9.348337701E-02, 4.400205729E-02,-1.237858157E-04, 4.179892407E-04
      4078, 9.606532569E-02, 3.804980726E-02,-1.832664106E-04, 5.898209156E-04
      4079, 9.826407383E-02, 3.193850589E-02,-2.006845423E-04, 7.134415434E-04
      4080, 1.000678518E-01, 2.571495126E-02,-1.883119222E-04, 7.915155316E-04
      4081, 1.014848799E-01, 1.939742169E-02,-1.575097976E-04, 8.274586547E-04
      4082, 1.025082385E-01, 1.298724553E-02,-1.153692872E-04, 8.221386213E-04
      4083, 1.031234222E-01, 6.519534545E-03,-6.932271087E-05, 7.825270485E-04
      4084, 1.033295457E-01, 2.491131667E-05,-2.679478281E-05, 7.155605470E-04
      4085, 1.031265579E-01,-6.469837965E-03, 9.628143529E-06, 6.301366015E-04
      4086, 1.025145063E-01,-1.293785694E-02, 3.843630527E-05, 5.386922393E-04
      4087, 1.014942646E-01,-1.934860040E-02, 5.762311495E-05, 4.490300501E-04
      4088, 1.000801709E-01,-2.566694251E-02, 6.958030413E-05, 3.672252125E-04
      4089, 9.827938065E-02,-3.189120149E-02, 7.966444256E-05, 3.013942320E-04
      4090, 9.608365755E-02,-3.800357897E-02, 9.179945929E-05, 2.568893221E-04
      4091, 9.350453748E-02,-4.395716862E-02, 1.109011744E-04, 2.356010859E-04
      4092, 9.056961530E-02,-4.972943588E-02, 1.438362248E-04, 2.402507176E-04
      4093, 8.727339373E-02,-5.533020331E-02, 1.970567338E-04, 2.705288680E-04
      4094, 8.360902232E-02,-6.072033465E-02, 2.755774931E-04, 3.226097837E-04
